反馈编号,标题,状态,主主题,反馈类型,评论数,互动数,旧版初筛分,初筛档位,源链接,标注方式,人工复核状态,人工主主题,人工根因,复核证据,复核人,复核时间
OWUI-28563,issue: PPTX attachment Preview renders the thumbnail rail but the main slide pane stays blank for larger decks,已关闭,其他,问题反馈,1,0,39,观察,https://github.com/open-webui/open-webui/issues/28563,规则初筛,未复核,,,,,
OWUI-28561,issue: UI Scale shows Default instead of the inherited value when a system-wide default interface scale is set,开放,界面与对话流程,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28561,规则初筛,未复核,,,,,
OWUI-28559,"fix: reasoning ""Thinking..."" indicator and spinner never render when ""Fade Effect for Streaming Text"" is disabled",开放,其他,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28559,规则初筛,未复核,,,,,
OWUI-28555,issue: bug: OAuth 2.1 Dynamic/Static Client Registration generates HTTP redirect_uri instead of HTTPS when behind reverse proxy,开放,账号与权限,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28555,规则初筛,未复核,,,,,
OWUI-28553,"issue: RAG / Knowledge base ignored when tool calling is ""default""",开放,知识库与RAG,问题反馈,2,0,55,P2候选,https://github.com/open-webui/open-webui/issues/28553,规则初筛,未复核,,,,,
OWUI-28552,"issue: MCP Tool Server Verify skips OAuth flow entirely — sends unauthenticated POST, never initiates dynamic client registration or redirect to /authorize",开放,账号与权限,问题反馈,1,0,51,P2候选,https://github.com/open-webui/open-webui/issues/28552,规则初筛,未复核,,,,,
OWUI-28547,"feat: ""Search Collection"" in knowledges filters folders",开放,知识库与RAG,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28547,规则初筛,未复核,,,,,
OWUI-28545,feat: Tool-generated files as native in-chat download attachments (click = download) — with working solution,开放,知识库与RAG,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28545,规则初筛,未复核,,,,,
OWUI-28544,feat: fallback to other connections,开放,模型与API连接,功能建议,1,0,41,观察,https://github.com/open-webui/open-webui/issues/28544,规则初筛,未复核,,,,,
OWUI-28540,feat: Option to globally disable specific builtin_tools or capabilities,开放,Agent/工具/搜索,功能建议,1,1,44,观察,https://github.com/open-webui/open-webui/issues/28540,规则初筛,未复核,,,,,
